text,Description
indigo booking,travel
DECATHLON ITEMS,shopping
croma JEANS,shopping
croma shoe,shopping
balance misc,other
youtube event,entertainment
plus sub,entertainment
fee unknown,other
bookmyshow TICKET,entertainment
paymen charge,other
service servic,other
gaana music,entertainment
indigo trip,travel
xbox concer,entertainment
airport parcel,food
renewa entry,other
credit amount,other
indig seat,travel
dmart basket,shopping
dmart BASKET,shopping
XBOX event,entertainment
haldirams BIRYANI,food
hold payment,other
flipkart GEAR,shopping
STEAM SUBSCRIPTION,entertainment
processing balance,other
hm SET,shopping
airpor BOOKIN,travel
payment balance,other
vistara fare,travel
bigbasket milk,food
ikea shoes,shopping
sony show,entertainment
processing auto,other
SPICEJET toll,travel
amount transfer,other
train snack,travel
airindia booking,travel
hotstar concert,entertainment
processing balance,other
flight snacks,travel
hotstar rental,entertainment
servic processing,other
instamar coffee,food
HALDIRAMS milk,food
spiceje shuttle,travel
grocery basket,shopping
IRCTC journey,travel
crom bag,shopping
lyft ride,travel
psplus subscription,entertainment
bus pass,travel
behrouz combo,food
payment processing,other
train RIDE,travel
BALANCE charge,other
primevideo ticket,entertainment
adidas bag,shopping
PRIM sub,entertainment
instamart dinner,food
CREDIT payment,other
instamart coffee,food
netflix entr,entertainment
gaana rental,entertainment
prime sub,entertainment
charge AUTO,other
subway BUFFE,food
BEHROU biryani,food
GROCERY basket,shopping
psplus entry,entertainment
flight snack,travel
train meal,food
hotstar concer,entertainment
dmart basket,shopping
unknown processing,other
PRO sub,entertainment
nike items,shopping
IKEA SHIRT,shopping
fee txn,other
metro journey,travel
tacobell coffee,food
hm cart,shopping
IRCTC trip,travel
amount service,other
NETFLIX CONCERT,entertainment
xbox rental,entertainment
ajio jacket,shopping
nykaa jacket,shopping
AUTO debit,other
nykaa set,shopping
nike jacke,shopping
rapido seat,travel
primevideo ticket,entertainment
decathlo ITEMS,shopping
kfc RICE,food
starbucks snacks,food
FLIGHT SNACKS,travel
plus sub,entertainment
prime sub,entertainment
box8 pizza,food
NETFLIX class,entertainment
youtube music,entertainment
grocery basket,shopping
paymen balance,other
indigo booking,travel
audible game,entertainment
debi processing,other
amazo orde,shopping
misc AUTO,other
flight snacks,travel
balanc ecs,other
fligh SNACKS,travel
SONY concert,entertainment
bus ride,travel
flipkart watc,shopping
instamart combo,food
rapido pass,travel
BEHROUZ buffe,food
txn payment,other
grocery basket,shopping
hotstar entry,entertainment
rapido fare,travel
nike BASKET,shopping
zoomcar seat,travel
audible ticket,entertainment
audible PASS,entertainment
UBEREATS LUNCH,food
flight snacks,travel
adidas jacket,shopping
ola fare,travel
train snacks,travel
TRAIN meal,food
train commute,travel
PRIM sub,entertainment
eatfit biryani,food
croma jeans,shopping
zara GEAR,shopping
BALANCE fee,other
nike cart,shopping
LENSKART items,shopping
NIKE bag,shopping
flight SNACKS,travel
MEESHO jacket,shopping
balance amount,other
credit processing,other
airport snack,food
unknown debit,other
zara items,shopping
faaso COMB,food
auto adjustment,other
puma item,shopping
meesho shirt,shopping
bus ride,travel
ENTRY HOLD,other
meesho gear,shopping
unknow auto,other
airport parking,travel
hold processing,other
behrouz PARCEL,food
airpor MEAL,food
unknow processing,other
airport meal,food
youtube CONCERT,entertainment
HOTSTAR stream,entertainment
TRAIN journey,travel
hm bag,shopping
SONY music,entertainment
youtub movie,entertainment
ADJUSTMENT amount,other
blinkit BUFFET,food
airport toll,travel
amazon gear,shopping
airindia ride,travel
amazon items,shopping
xbox pass,entertainment
starbucks roll,food
transfer hold,other
grocery baske,shopping
spotify movie,entertainment
renewal mandate,other
dominos RICE,food
psplus show,entertainment
blinkit buffet,food
flight snack,travel
ola shuttle,travel
trai snacks,food
myntra jacket,shopping
zoomcar parking,travel
instamart parce,food
auto fee,other
processing PAYMENT,other
revv booking,travel
plus sub,entertainment
airindi toll,travel
train SNACKS,food
dominos lunch,food
service servic,other
CROMA CART,shopping
train SNACKS,food
indigo pass,travel
entr credi,other
nike shirt,shopping
plus sub,entertainment
youtube game,entertainment
kfc milk,food
subway coffee,food
EATFI combo,food
dmart basket,shopping
BIGBASKE bread,food
gaana STREAM,entertainment
domino dinner,food
