text,category
reliance smart purchase for office use,food
swiggy monthly charge during weekend,food
kfc booking late night,food
dominos purchase while travelling,food
reliance smart expense monthly,food
zomato transaction one time,food
ccd payment family use,food
swiggy purchase personal use,food
kfc booking urgent,food
blinkit transaction routine,food
swiggy expense for office use,food
kfc expense during weekend,food
ccd booking late night,food
bigbasket transaction while travelling,food
mcdonalds payment monthly,food
local cafe order one time,food
dmart recharge family use,food
starbucks monthly charge personal use,food
dominos booking urgent,food
local cafe subscription routine,food
zomato purchase for office use,food
ccd purchase during weekend,food
starbucks subscription late night,food
zepto monthly charge while travelling,food
local cafe payment monthly,food
dmart bill one time,food
blinkit purchase family use,food
ccd purchase personal use,food
blinkit monthly charge urgent,food
roadside dhaba transaction routine,food
roadside dhaba subscription for office use,food
zepto booking during weekend,food
dmart purchase late night,food
swiggy booking while travelling,food
local cafe monthly charge monthly,food
zomato booking one time,food
roadside dhaba purchase family use,food
ccd monthly charge personal use,food
bigbasket subscription urgent,food
dominos subscription routine,food
starbucks booking for office use,food
reliance smart monthly charge during weekend,food
dmart purchase late night,food
zepto order while travelling,food
blinkit booking monthly,food
dominos bill one time,food
ccd monthly charge family use,food
reliance smart expense personal use,food
kfc subscription urgent,food
roadside dhaba payment routine,food
kfc payment for office use,food
local cafe subscription during weekend,food
ccd monthly charge late night,food
zomato booking while travelling,food
zepto subscription monthly,food
kfc bill one time,food
ccd bill family use,food
dominos monthly charge personal use,food
dominos booking urgent,food
dmart expense routine,food
blinkit monthly charge for office use,food
dmart transaction during weekend,food
ccd transaction late night,food
ccd subscription while travelling,food
kfc order monthly,food
blinkit bill one time,food
zomato payment family use,food
roadside dhaba purchase personal use,food
dominos order urgent,food
local cafe recharge routine,food
zepto purchase for office use,food
ccd recharge during weekend,food
zepto bill late night,food
blinkit monthly charge while travelling,food
blinkit payment monthly,food
reliance smart purchase one time,food
reliance smart expense family use,food
local cafe monthly charge personal use,food
local cafe subscription urgent,food
zomato monthly charge routine,food
ccd order for office use,food
bigbasket payment during weekend,food
dmart monthly charge late night,food
blinkit order while travelling,food
blinkit purchase monthly,food
roadside dhaba monthly charge one time,food
roadside dhaba expense family use,food
zepto booking personal use,food
dominos subscription urgent,food
local cafe order routine,food
blinkit expense for office use,food
swiggy transaction during weekend,food
starbucks bill late night,food
swiggy purchase while travelling,food
starbucks monthly charge monthly,food
kfc payment one time,food
kfc transaction family use,food
zomato purchase personal use,food
dmart bill urgent,food
roadside dhaba purchase routine,food
local cafe expense for office use,food
local cafe order during weekend,food
dominos bill late night,food
blinkit order while travelling,food
mcdonalds expense monthly,food
roadside dhaba transaction one time,food
ccd booking family use,food
blinkit booking personal use,food
dmart monthly charge urgent,food
ccd subscription routine,food
bigbasket expense for office use,food
bigbasket purchase during weekend,food
kfc booking late night,food
zomato subscription while travelling,food
swiggy transaction monthly,food
blinkit booking one time,food
zepto booking family use,food
swiggy purchase personal use,food
dmart payment urgent,food
kfc purchase routine,food
swiggy subscription for office use,food
zomato expense during weekend,food
kfc monthly charge late night,food
reliance smart bill while travelling,food
kfc expense monthly,food
dominos transaction one time,food
zepto bill family use,food
kfc bill personal use,food
local cafe recharge urgent,food
kfc purchase routine,food
zomato recharge for office use,food
starbucks recharge during weekend,food
ccd bill late night,food
roadside dhaba payment while travelling,food
reliance smart purchase monthly,food
swiggy recharge one time,food
dmart subscription family use,food
local cafe purchase personal use,food
kfc booking urgent,food
kfc expense routine,food
bigbasket order for office use,food
ccd order during weekend,food
mcdonalds bill late night,food
kfc purchase while travelling,food
bigbasket expense monthly,food
zomato payment one time,food
reliance smart expense family use,food
roadside dhaba payment personal use,food
zomato booking urgent,food
dominos recharge routine,food
bigbasket bill for office use,food
kfc recharge during weekend,food
swiggy order late night,food
ccd payment while travelling,food
ccd monthly charge monthly,food
local cafe bill one time,food
mcdonalds recharge family use,food
dmart expense personal use,food
reliance smart bill urgent,food
dominos booking routine,food
mcdonalds booking for office use,food
swiggy transaction during weekend,food
dmart expense late night,food
swiggy subscription while travelling,food
swiggy payment monthly,food
zepto bill one time,food
blinkit expense family use,food
dominos payment personal use,food
blinkit purchase urgent,food
roadside dhaba order routine,food
zomato transaction for office use,food
zomato booking during weekend,food
ccd purchase late night,food
zepto booking while travelling,food
zepto transaction monthly,food
swiggy transaction one time,food
zomato recharge family use,food
reliance smart transaction personal use,food
zepto expense urgent,food
starbucks monthly charge routine,food
kfc subscription for office use,food
kfc monthly charge during weekend,food
ccd order late night,food
reliance smart monthly charge while travelling,food
bigbasket subscription monthly,food
local cafe purchase one time,food
swiggy bill family use,food
zepto transaction personal use,food
zomato purchase urgent,food
blinkit booking routine,food
blinkit monthly charge for office use,food
dominos subscription during weekend,food
zomato booking late night,food
starbucks monthly charge while travelling,food
dominos bill monthly,food
roadside dhaba expense one time,food
dmart monthly charge family use,food
zepto expense personal use,food
swiggy expense urgent,food
mcdonalds purchase routine,food
dominos monthly charge for office use,food
zomato purchase during weekend,food
dmart expense late night,food
dominos monthly charge while travelling,food
mcdonalds transaction monthly,food
kfc subscription one time,food
kfc monthly charge family use,food
blinkit bill personal use,food
mcdonalds payment urgent,food
zomato recharge routine,food
roadside dhaba monthly charge for office use,food
swiggy payment during weekend,food
starbucks order late night,food
reliance smart monthly charge while travelling,food
dominos bill monthly,food
blinkit recharge one time,food
blinkit payment family use,food
zomato purchase personal use,food
dmart order urgent,food
blinkit payment routine,food
roadside dhaba subscription for office use,food
zepto expense during weekend,food
dominos recharge late night,food
dominos payment while travelling,food
mcdonalds subscription monthly,food
local cafe payment one time,food
starbucks booking family use,food
reliance smart booking personal use,food
reliance smart purchase urgent,food
starbucks expense routine,food
roadside dhaba recharge for office use,food
zepto order during weekend,food
kfc order late night,food
local cafe order while travelling,food
ccd payment monthly,food
dominos subscription one time,food
local cafe recharge family use,food
local cafe booking personal use,food
mcdonalds order urgent,food
local cafe purchase routine,food
ccd payment for office use,food
roadside dhaba bill during weekend,food
kfc booking late night,food
roadside dhaba bill while travelling,food
starbucks monthly charge monthly,food
roadside dhaba booking one time,food
kfc payment family use,food
reliance smart booking personal use,food
ccd subscription urgent,food
mcdonalds purchase routine,food
local cafe monthly charge for office use,food
starbucks expense during weekend,food
ccd expense late night,food
starbucks payment while travelling,food
zomato monthly charge monthly,food
dominos transaction one time,food
mcdonalds payment family use,food
zomato transaction personal use,food
ccd subscription urgent,food
dmart subscription routine,food
ccd transaction for office use,food
blinkit purchase during weekend,food
ccd transaction late night,food
kfc monthly charge while travelling,food
swiggy recharge monthly,food
swiggy expense one time,food
local cafe expense family use,food
reliance smart booking personal use,food
starbucks recharge urgent,food
zomato subscription routine,food
zepto subscription for office use,food
reliance smart purchase during weekend,food
dmart monthly charge late night,food
blinkit monthly charge while travelling,food
reliance smart recharge monthly,food
starbucks recharge one time,food
dmart monthly charge family use,food
blinkit order personal use,food
kfc recharge urgent,food
reliance smart recharge routine,food
reliance smart order for office use,food
zepto transaction during weekend,food
mcdonalds recharge late night,food
blinkit payment while travelling,food
mcdonalds monthly charge monthly,food
kfc recharge one time,food
local cafe transaction family use,food
zepto subscription personal use,food
bigbasket bill urgent,food
bigbasket booking routine,food
blinkit bill for office use,food
local cafe order during weekend,food
reliance smart purchase late night,food
mcdonalds expense while travelling,food
reliance smart transaction monthly,food
starbucks purchase one time,food
roadside dhaba booking family use,food
reliance smart monthly charge personal use,food
kfc booking urgent,food
dominos payment routine,food
swiggy booking for office use,food
bigbasket transaction during weekend,food
roadside dhaba purchase late night,food
bigbasket recharge while travelling,food
reliance smart transaction monthly,food
kfc recharge one time,food
bigbasket recharge family use,food
kfc order personal use,food
reliance smart payment urgent,food
local cafe purchase routine,food
local cafe recharge for office use,food
kfc order during weekend,food
local cafe expense late night,food
bigbasket payment while travelling,food
blinkit booking monthly,food
roadside dhaba purchase one time,food
bigbasket order family use,food
local cafe bill personal use,food
reliance smart expense urgent,food
blinkit transaction routine,food
starbucks bill for office use,food
zepto expense during weekend,food
ccd expense late night,food
bigbasket order while travelling,food
dmart bill monthly,food
bigbasket monthly charge one time,food
local cafe booking family use,food
roadside dhaba monthly charge personal use,food
local cafe expense urgent,food
bigbasket booking routine,food
mcdonalds bill for office use,food
zomato monthly charge during weekend,food
kfc monthly charge late night,food
starbucks subscription while travelling,food
blinkit purchase monthly,food
dominos order one time,food
kfc recharge family use,food
dmart order personal use,food
dmart booking urgent,food
zomato recharge routine,food
ccd subscription for office use,food
blinkit bill during weekend,food
ccd payment late night,food
kfc recharge while travelling,food
ccd transaction monthly,food
dmart payment one time,food
roadside dhaba transaction family use,food
ccd bill personal use,food
swiggy subscription urgent,food
mcdonalds recharge routine,food
roadside dhaba recharge for office use,food
blinkit expense during weekend,food
local cafe transaction late night,food
kfc bill while travelling,food
kfc monthly charge monthly,food
ccd bill one time,food
swiggy recharge family use,food
starbucks recharge personal use,food
dmart order urgent,food
roadside dhaba bill routine,food
dominos transaction for office use,food
blinkit payment during weekend,food
ccd transaction late night,food
zepto payment while travelling,food
